ID,TYPE,MATERIAL,PLANT,CATALOG_DASH,BULLETIN,MAT_DESC,PROD_BU,PROD_FAM,PROD_HIERARCHY,PROD_LINE,PROD_LINE_DES,MONTH_25,MONTH_26,MONTH_27,MONTH_28,MONTH_29,MONTH_30,MONTH_31,MONTH_32,MONTH_33,MONTH_34,MONTH_35,MONTH_36
PN-240520_5100,RA Historical Forecast - 2 Mth Lag,PN-240520,5100,1756-A10,1756,ControlLogix 10 Slots Chassis,CLX,CLXA040-Programmable Automation Controllers,CLXA0403A1554A1061-1756 Chassis,CLXA0403A155,1756 Logix I/O,0,0,0,0,0,40,33,32,41,41,40,39
PN-240520_5100,RA Historical Demand,PN-240520,5100,1756-A10,1756,ControlLogix 10 Slots Chassis,CLX,CLXA040-Programmable Automation Controllers,CLXA0403A1554A1061-1756 Chassis,CLXA0403A155,1756 Logix I/O,0,0,0,0,7,20,31,41,36,20,21,53
PN-240520_5140,RA Historical Forecast - 2 Mth Lag,PN-240520,5140,1756-A10,1756,ControlLogix 10 Slots Chassis,CLX,CLXA040-Programmable Automation Controllers,CLXA0403A1554A1061-1756 Chassis,CLXA0403A155,1756 Logix I/O,0,0,0,0,0,22,18,18,22,22,22,22
PN-240520_5140,RA Historical Demand,PN-240520,5140,1756-A10,1756,ControlLogix 10 Slots Chassis,CLX,CLXA040-Programmable Automation Controllers,CLXA0403A1554A1061-1756 Chassis,CLXA0403A155,1756 Logix I/O,0,0,0,9,38,28,13,28,24,14,7,25
PN-240523_5190,RA Historical Forecast - 2 Mth Lag,PN-240523,5190,1756-A7XT,1756,ControlLogix 7 Slots XT Chassis,CLX,CLXA040-Programmable Automation Controllers,CLXA0403A1554A1061-1756 Chassis,CLXA0403A155,1756 Logix I/O,0,0,0,0,0,0,0,0,0,0,0,0
PN-240523_5190,RA Historical Demand,PN-240523,5190,1756-A7XT,1756,ControlLogix 7 Slots XT Chassis,CLX,CLXA040-Programmable Automation Controllers,CLXA0403A1554A1061-1756 Chassis,CLXA0403A155,1756 Logix I/O,0,0,0,0,0,0,0,0,0,0,0,0
PN-184823_5140,RA Historical Forecast - 2 Mth Lag,PN-184823,5140,1444-LBXC-0M3-01,1444,Local Bus Extender Cable (0.3m),ICM,ICMA091-Protection Systems,ICMA0913A4354A2500-XM Modules & Terminal Bases,ICMA0913A435,ProtectionSystems,0,0,0,0,0,0,0,0,0,0,0,0
PN-184823_5140,RA Historical Demand,PN-184823,5140,1444-LBXC-0M3-01,1444,Local Bus Extender Cable (0.3m),ICM,ICMA091-Protection Systems,ICMA0913A4354A2500-XM Modules & Terminal Bases,ICMA0913A435,ProtectionSystems,0,0,0,0,0,0,1,0,0,0,0,0
PN-184795_5140,RA Historical Forecast - 2 Mth Lag,PN-184795,5140,1444-TBA-RPC-SCW-01,1444,Screw Clamp Removable Connector Set,ICM,ICMA091-Protection Systems,ICMA0913A4354A2500-XM Modules & Terminal Bases,ICMA0913A435,ProtectionSystems,0,0,0,0,1,7,9,4,5,4,1,0
PN-184795_5140,RA Historical Demand,PN-184795,5140,1444-TBA-RPC-SCW-01,1444,Screw Clamp Removable Connector Set,ICM,ICMA091-Protection Systems,ICMA0913A4354A2500-XM Modules & Terminal Bases,ICMA0913A435,ProtectionSystems,0,0,320,137,0,0,2,6,0,6,2,36
PN-184822_5140,RA Historical Forecast - 2 Mth Lag,PN-184822,5140,1444-LBIC-04,1444,Local Bus Interconnect Cable (qty 4),ICM,ICMA091-Protection Systems,ICMA0913A4354A2500-XM Modules & Terminal Bases,ICMA0913A435,ProtectionSystems,0,0,0,0,0,0,0,0,0,0,0,1
PN-184822_5140,RA Historical Demand,PN-184822,5140,1444-LBIC-04,1444,Local Bus Interconnect Cable (qty 4),ICM,ICMA091-Protection Systems,ICMA0913A4354A2500-XM Modules & Terminal Bases,ICMA0913A435,ProtectionSystems,0,0,6,43,0,0,1,0,0,0,0,0
PN-198907_5140,RA Historical Forecast - 2 Mth Lag,PN-198907,5140,1756-CN2R,1756,ControlLogix Communication Module,NET,NETA234-ControlNet,NETA2343B0744A5038-ControlNet Modules,NETA2343B074,ContlNet Enablers,1,2,2,1,2,3,3,3,3,3,3,3
PN-198907_5140,RA Historical Demand,PN-198907,5140,1756-CN2R,1756,ControlLogix Communication Module,NET,NETA234-ControlNet,NETA2343B0744A5038-ControlNet Modules,NETA2343B074,ContlNet Enablers,0,2,4,1,5,1,3,4,5,2,2,1
PN-184820_5100,RA Historical Forecast - 2 Mth Lag,PN-184820,5100,1444-TBB-RPC-SCW-01,1444,Screw Clamp Removable Connector Set,ICM,ICMA091-Protection Systems,ICMA0913A4354A2500-XM Modules & Terminal Bases,ICMA0913A435,ProtectionSystems,0,0,0,0,0,0,0,0,0,0,0,0
PN-184820_5100,RA Historical Demand,PN-184820,5100,1444-TBB-RPC-SCW-01,1444,Screw Clamp Removable Connector Set,ICM,ICMA091-Protection Systems,ICMA0913A4354A2500-XM Modules & Terminal Bases,ICMA0913A435,ProtectionSystems,0,0,0,0,0,0,0,0,0,0,0,0
PN-184713_5100,RA Historical Forecast - 2 Mth Lag,PN-184713,5100,1444-AOFX00-04RB,1444,Expansion 4-20mA Output Module,ICM,ICMA091-Protection Systems,ICMA0913A4354A2500-XM Modules & Terminal Bases,ICMA0913A435,ProtectionSystems,0,0,0,0,0,0,0,0,0,0,0,0
PN-184713_5100,RA Historical Demand,PN-184713,5100,1444-AOFX00-04RB,1444,Expansion 4-20mA Output Module,ICM,ICMA091-Protection Systems,ICMA0913A4354A2500-XM Modules & Terminal Bases,ICMA0913A435,ProtectionSystems,0,0,0,0,0,0,0,0,0,0,0,0
