"rules","support","confidence","lift"
"{1769-OB16} => {1769-IQ16}",0.0101146325016858,0.9375,38.6197916666667
"{20-750-ENC-1} => {20-HIM-A6}",0.0101146325016858,0.833333333333333,15.8440170940171
"{1794-ACNR15} => {1794-OB16P}",0.0107889413351315,0.8,65.9111111111111
"{1794-OB16P} => {1794-ACNR15}",0.0107889413351315,0.888888888888889,65.9111111111111
"{1794-ACNR15} => {1756-ENBT}",0.0107889413351315,0.8,32.9555555555556
"{1794-ACNR15} => {1786-TPS}",0.0114632501685772,0.85,33.1723684210526
"{1794-ACNR15} => {1756-PA72}",0.0107889413351315,0.8,21.1857142857143
"{1794-OE4} => {1794-IE8}",0.0114632501685772,0.85,57.2977272727273
"{1794-OE4} => {1794-TB2}",0.0107889413351315,0.8,43.9407407407407
"{1794-OB16P} => {1756-L61}",0.0101146325016858,0.833333333333333,51.4930555555556
"{1794-OB16P} => {1756-ENBT}",0.0101146325016858,0.833333333333333,34.3287037037037
"{1794-OB16P} => {1794-TB2}",0.0101146325016858,0.833333333333333,45.7716049382716
"{1794-OB16P} => {1756-CNBR}",0.0101146325016858,0.833333333333333,34.3287037037037
"{1794-OB16P} => {1786-TPS}",0.0101146325016858,0.833333333333333,32.5219298245614
"{1794-OB16P} => {1756-PA72}",0.0101146325016858,0.833333333333333,22.0684523809524
"{1756-L61} => {1756-CNBR}",0.0141604855023601,0.875,36.0451388888889
"{1756-L61} => {1756-A7}",0.0141604855023601,0.875,28.2092391304348
"{1756-L61} => {1756-PA72}",0.0141604855023601,0.875,23.171875
"{1756-L61} => {1756-N2}",0.0141604855023601,0.875,18.2764084507042
"{1756-OB32} => {1756-IB32}",0.0114632501685772,0.85,40.6629032258065
"{1762-IF2OF2} => {1762-IF4}",0.0107889413351315,0.888888888888889,32.1517615176152
"{1762-IF2OF2} => {1766-L32BWA}",0.0107889413351315,0.888888888888889,32.9555555555556
"{1756-OB16E} => {1756-IB16}",0.0107889413351315,0.8,59.32
"{1756-IB16} => {1756-OB16E}",0.0107889413351315,0.8,59.32
"{1756-OB16E} => {1756-IF8}",0.0107889413351315,0.8,42.3714285714286
"{1756-OB16E} => {1756-N2}",0.0107889413351315,0.8,16.7098591549296
"{1756-IB16} => {1756-IF8}",0.0114632501685772,0.85,45.0196428571429
"{1756-IB16} => {1756-N2}",0.0114632501685772,0.85,17.7542253521127
"{1762-OF4} => {1762-IF4}",0.0148347943358058,0.846153846153846,30.6060037523452
"{1756-OF8} => {1756-TBCH}",0.0134861766689144,0.8,23.2627450980392
"{1756-TBNH} => {1756-TBCH}",0.0155091031692515,0.958333333333333,27.8668300653595
"{1794-TB2} => {1786-TPS}",0.0155091031692515,0.851851851851852,33.2446393762183
"{1794-TB2} => {1756-PA72}",0.0148347943358058,0.814814814814815,21.5780423280423
"{1794-TB2} => {1756-N2}",0.0155091031692515,0.851851851851852,17.792905581638
"{1756-RMC1} => {1756-RM2}",0.016857720836143,0.833333333333333,35.3095238095238
"{1756-RMC1} => {1756-PA72}",0.0161834120026972,0.8,21.1857142857143
"{1756-RMC1} => {1756-N2}",0.0175320296695887,0.866666666666667,18.1023474178404
"{1756-RM2} => {1756-N2}",0.0188806473364801,0.8,16.7098591549296
"{1756-PA75} => {1756-N2}",0.0155091031692515,0.821428571428571,17.157444668008
"{1756-CNBR} => {1756-A7}",0.0202292650033715,0.833333333333333,26.8659420289855
"{1756-CNBR} => {1756-PA72}",0.021577882670263,0.888888888888889,23.5396825396825
"{1756-CNBR} => {1756-N2}",0.0195549561699258,0.805555555555556,16.8258998435055
"{1756-A7} => {1756-PA72}",0.0269723533378287,0.869565217391304,23.027950310559
"{1756-A7} => {1756-N2}",0.0269723533378287,0.869565217391304,18.162890385793
"{1794-ACNR15,1794-OB16P} => {1756-L61}",0.0101146325016858,0.9375,57.9296875
"{1756-L61,1794-ACNR15} => {1794-OB16P}",0.0101146325016858,1,82.3888888888889
"{1756-L61,1794-OB16P} => {1794-ACNR15}",0.0101146325016858,1,74.15
"{1794-ACNR15,1794-OB16P} => {1756-ENBT}",0.0101146325016858,0.9375,38.6197916666667
"{1756-ENBT,1794-ACNR15} => {1794-OB16P}",0.0101146325016858,0.9375,77.2395833333333
"{1756-ENBT,1794-OB16P} => {1794-ACNR15}",0.0101146325016858,1,74.15
"{1794-ACNR15,1794-OB16P} => {1756-CNBR}",0.0101146325016858,0.9375,38.6197916666667
"{1756-CNBR,1794-ACNR15} => {1794-OB16P}",0.0101146325016858,1,82.3888888888889
"{1756-CNBR,1794-OB16P} => {1794-ACNR15}",0.0101146325016858,1,74.15
"{1794-ACNR15,1794-OB16P} => {1786-TPS}",0.0101146325016858,0.9375,36.5871710526316
"{1786-TPS,1794-ACNR15} => {1794-OB16P}",0.0101146325016858,0.882352941176471,72.6960784313725
"{1786-TPS,1794-OB16P} => {1794-ACNR15}",0.0101146325016858,1,74.15
"{1794-ACNR15,1794-OB16P} => {1756-PA72}",0.0101146325016858,0.9375,24.8270089285714
"{1756-PA72,1794-ACNR15} => {1794-OB16P}",0.0101146325016858,0.9375,77.2395833333333
